setning	einkunn	atkvæði
Líka upp á hættu að veggirnir og skorsteinninn séu að falla.	2.0	1
Loftbyssan óhlaðin og ekki notuð við þjófnaðinn.	2.0	1
Loft-og eldflaugaárásir deiluaðila héldu áfram í dag.	5.0	1
Loftþyngd er mælieining fyrir þrýsting, táknuð með atm.	9.0	1
Löggjafarvald Sádí-Arabíu fylgir Sharia lögum Íslamstrúar.	5.0	1
Lög landsins byggjast á sjaríalögum.	5.0	1
Lónin þjóna bæði stórum vatnsaflsvirkjunum.	8.0	1
Lyfjamál voru helstu fréttaefnin af Myllylä í seinni tíð.	7.0	1
Lyktin er sjúklega hressandi.	5.0	1
Maðurinn var á leið frá Lissabon í Portúgal.	5.0	1
Maður vill nota reynsluna sína til að hjálpa öðrum.	4.67	3
Mammú og Lay Low hita upp fyrir Of Monsters and Men í kvöld.	5.0	2
Manni færri tókst heimamönnum að halda aftan af gestunum.	0.0	1
Margir eltast við það að vera betri en náungin.	2.0	3
Margir óttuðust Japana, enda stjórnuðu þeir með grimmd.	4.5	2
-Margir vildu nota mann, það er rétt, segir Sigurður.	5.0	1
Margot er gift taugasjúkdómafræðingi Raleigh St. Clair.	7.0	1
Mark-aðurinn hrundi 1929 og almenningur tapaði fénu.	2.5	2
Markakóngur var Einar Magnússon, Víkingi, með 100 mörk.	7.0	2
Markakóngur var Geir Hallsteinsson, FH, með 95 mörk.	5.0	1
Markovic er tvítugur og uppalinn hjá Partizan Belgrad.	10.0	1
Mark Webberer fremstur og Rubens Barrichello við hliði hans.	5.0	1
Meðal annars var ein orsök, hækkun á undirmálslánum.	5.0	1
Meðal kennara hans voru P. A. Munch og Rudolf Keyser.	5.0	1
Meðan á því stóð kveiknaði í öðru skipinu og eyðilagðist það.	5.0	1
Meirihluta atkvæðanna 95 þarf til þess að tryggja sér sigur.	9.5	2
Menn sjá mikil tækifæri skapast með nýjum samgöngumannvirkjum.	5.0	1
Merkur áfangi getur til dæmis verið gifting eða jarðaför.	5.0	1
Mesta frost sem mælst hefur var -16,9° C í april árið 1968.	5.0	2
Mestan samdrátt vil ICES hafa í veiðum á norsk-íslenskri síld.	3.0	2
Mest er um að ferðamenn séu í fjöldahjálparstöðvunum.	1.0	1
Mikið af fólki hafði þá safnast saman nálægt Borgarpylsum.	10.0	1
Mikið er af blágreni, hvítgreni og fjallaþini inni í landi.	5.0	1
Mikið hefur verið rætt um jafnrétti á síðast liðnum árum.	7.0	1
Mikill meirihluti íbúa Íraks, eða um 95%, aðhyllast Íslam.	4.0	1
Mikill munur er á menningu nyrst og syðst í Mozambique.	7.0	2
Mikil örvænting er á svæðinu.	5.0	2
Mikil rigning er nú í Hróaskeldu.	5.0	1
Miklar tafir urðu á umferð og tók langan tíma að greiða úr því.	0.0	1
Miklir menningarárekstrar hafa átt sér stað í löndum.	5.0	1
Miserfitt er að hitta ofaní rennurnar.	5.0	2
Mjög mörg mál hafa sömu grunn hugmynd að talningu.	6.0	2
Mótið náði hápunkti í gær og sóttu um tíu þúsund manns mótið.	6.0	2
Mundu bara, stjórnaðu peningunu, ekki láta þá stjórna þér.	3.33	3
Mun hann fylla skarð Glen Johnson sem er farinn til Liverpool.	8.5	2
Mun hann taka sæti Diego Costa sem er á leiðinni til Chelsea.	6.0	3
Myndirnar tóku menn á vegum Landhelgisgæslu Íslands.	10.0	2
Næsta útgefna kvikmynd Pixar var Up.	7.5	2
Nafnið er dregið af arabíska orðinu qibt sem þýðir egypskur.	5.33	3
Nafnið er dregið af arabíska orðinu قمر, tungl.	5.0	1
Nafnið er dregið af bantúmálinu kírúndi.	7.5	2
Nafnið Írak er dregið af fornaldarborginni Úrúk í Súmer.	5.0	1
Nafnið Miðjarðarhaf kemur úr latínu (, miðja +, jörð ).	5.0	1
Napoleon ætlaði að láta rífa hana, en ekkert varð úr því.	7.0	3
Neðri deildin kallast Fulltrúadeildin.	5.0	1
Nefndin tók hinsvegar ekki fyrir öll mál.	5.0	2
Neymar var borinn af velli og fluttur á sjúkrahús.	7.5	2
Neymer segir að draumur hans sé eki á enda.	0.67	3
Nico Rosberg, tilkynnti gírkasavandræði á 29. hring.	3.67	3
Nígería er fjölmennasta land Afríku.	5.0	1
Nokkur slík insligl hafa fundist á Íslandi.	4.0	1
Nú er mínum 4 árum í Verzlunarskóla Íslands senn að ljúka.	5.0	1
Nú hendir maður mjólkufernum sér í rusl og dagblöðum sér.	3.0	1
Núna er þetta það eins sem ég get boðið þér.	5.0	1
Núna var það 9 pundari og 80cm !	5.0	2
Nútildags er byggingin notuð sem sýningaraðstaða og skrifstofa.	7.0	2
Nútríurækt var reynd á Íslandi á 4. áratug 20. aldar.	10.0	1
Nútríur eru með stærri nagdýum.	8.0	1
Nú var komið að því. Prófraun tveggja leikmanna.	5.0	2
Ný fjölmiðlalög verða lög fyrir Alþingi í dag.	0.0	1
Nýsteinöld hófst um 6000 f. Kr.	5.0	1
Obama er með 47% atkvæða í þessum ríkjum á móti 45% hjá Romney.	5.0	2
Ofnotkun þágufalls er nefnd þágufallssýki.	10.0	2
Og ef þú átt allt þetta eða ert þetta þá ertu hamingjusamur.	4.0	1
Og ég sem hef aldrei ráðist á mann.	5.0	2
Og ekki misskilja mig og hugsa um einhver smáatriði.	5.0	1
Og er menntun í raun fjárfesting til framtíðar?	5.0	1
Og má reikna með að konan verði í skýrslutöku í allan dag.	4.0	1
Og systkinin lögðu í morgun af stað á haf út.	10.0	1
Óheyrilegur fjöldi manna um allan heim stundar trúarbrögð.	9.0	1
Ökumenn eiga að hlýða ýmislegum aksturslögum.	2.0	1
Ökumenn skiptu þá á sléttu þurr dekkin.	2.0	2
Olíulindir við ósa Níger hafa fært landinu mikil auðæfi.	10.0	1
Öll þessi atvik voru frekar stutt ( styttri en 10 mín. ).	5.0	1
Opinbera tungumálið í Mósambík er Portúglaska.	2.0	1
Orgelið var byggt árin 1698 – 1700 af Botzon bræðrum.	5.0	1
Orkumálastjóra hafi gerð grein fyrir því.	2.0	4
Öröbum er mjög mismunað um allan heim.	0.0	1
Ótrúlegt atvik kláraði leikinn endanlega.	6.0	2
Óvíst er hvar fundurinn mun fara fram.	8.5	2
Oxunarstig + 7, + 6, + 4, + 2 og - 1 eru þó algengust.	5.0	1
Pakkfult í tólfhundruð manna sal og rosa góð stemming.	4.0	2
Peninginn geymdi hann í Landsbankanum í formi lífeyrissparnaði.	0.0	1
Persónan er þolinmóð og skilningsrík.	5.0	1
Pétur sagði að hann hefði einnig sætt sig við mótor-kross hjól.	6.5	2
Píanó er einnig eitt af undirstöðuhljóðfærunum í Bossa Nova.	5.0	2
Plast og ál eigum við líka að endurnota.	0.0	1
Portúgalir hófu verslun við þetta ríki sent á 15. öld.	5.0	1
Pressuvörn Dana að fara illa með okkar stúlkur þessa stundina.	2.0	1
Ráðuneytið lofaði að fara í málið en það hefur ekki gert neitt.	5.0	1
Rashid Ramzi frá Bahrain sigraði á 3 mínútum 30,25 sekúndum.	5.0	2
Red Bull-bíllinn fór betur með dekkin en Ferrari bíll Alonso.	6.0	2
Reiknað var með miklu af þýska liðinu á heimavelli.	7.0	1
Réunion er því hluti af Evrópusambandinu og Evrusvæðinu.	4.33	3
Richie er undrabarn í tennis og listamaður.	7.0	1
Rífleg úrkoma eða 1,000 mm er yfir árið.	2.0	1
Ríkin búa við bráðabirgða stjórnarskrá sem var sett 1972.	5.0	3
Róleg svo lengi sem ég fékk minn skamt.	5.0	1
RUV segir frá þessu og vitnar í Skessuhorn.	5.0	1
Sama ár gaf hann út fyrstu Latabæjar bókina.	5.0	1
Sam Houston studdi viðbætur við sameinuð ríki Norður Ameríku.	3.0	1
Samkunda Fólksins eða Majlis al Shaab er neðri deild þingsins.	5.0	2
Samkvæmt grænlensku reglunum er mönnum bannað að fæða birni.	5.0	1
Samkvæmt vefsíðunni er rífandi gangur á Þórshöfn þessa daganna.	2.0	1
Sannfæringakraftur hugans nær engum takmörkunum.	4.0	4
Sá sem er grafinn í haugnum lifði áfram þar.	1.0	1
Sá sem fyrstur greindist var faðir barns á leiksskólanum.	8.0	2
Seðlabankinn lækkaði líka innlánsvexti úr 0,25% í 0.	5.0	1
Seinna kemst Richie á undan frá spítalanum og hittir Margot.	2.5	2
Seinna meir þá ættleiddu þau stelpu.	3.5	2
Seinna voru þeim fjölgað í 48 bjöllur.	0.0	1
Sem dæmi má nefna Eminem eða Marshall Bruce Mathers III.	8.0	1
Sem dæmi um þetta er hægt að nefna Morgunblaðið og Dv.	5.5	2
Sendingar fóru út í bláinn og liðið var fljótt pirrað.	5.0	1
Settu eplaedik í morgundjúsinn þinn sem auka orkuskot.	5.0	1
Sé yndi á lífinu ekki til staðar þá er voðin vís.	5.0	1
Síðan breyttist allt-ég fann ástina í lífi mínu.	5.0	2
Síðan hafa ýmsir orðið til að benda á eldri skáldsagnahöfunda.	5.0	1
Síðastliðin nótt ágætlega að sögn lögreglu.	5.0	1
Síðastliðna 12 mánuði nemur hækkunin 5,3% að nafnvirði.	5.0	2
Sigmundur segir það aldrei auðvelt að vera brautryðjandi.	5.75	4
Sigríður Hvers vegna telur þú að þú sért vanhæf í þessu máli?	1.5	2
Sigrún Lilja er hjá ráðgjafaþjónstu félagsins.	5.0	2
Sigur heimamanna í höfn.	8.0	1
Síminn er hvers manns ábyrgð.	5.0	1
Simon hefur hlotið Grammýverðlaun tólf sinnum.	4.0	1
Sjóner sögu ríkari.	5.0	2
Skelin þarf að vera mjúk svo hún geti hryngt.	5.0	2
Skemmtilegast hefur verið að takast á við félgaslífið.	5.0	1
Skjálftinn fannst vel í Hveragerði og Selfossi.	2.5	2
Skógarhögg varð æ mikilvægari grein.	5.0	1
Skólinn minn vann ekkert.	5.0	2
Skólinn rúmar nú 1100 nemendur og samt kvartar engin.	6.0	3
Skora þau á Lego að slíta öll tengsl við Shell.	8.0	3
Skotland hlaut núverandi stöðu sína við sambandslögin 1707.	3.0	1
Skýring London er óviss vegna háttar á sem borgin hefur vaxið.	0.0	1
Smá saman tapar boltinn hæð og hann lendir í netinu.	5.0	1
Smáskífan seldist í meira en milljónum eintaka.	5.0	2
Snjólfur lést 1481.	5.0	1
Sögulega var Malé eyjan þar sem konungar Maldíveyja sátu.	5.0	1
Söngvarinn gaf út plötuna Paula þann fyrsta júlí síðastliðinn.	6.5	2
Spenging átti sér stað á vinnusvæði við Borgartún 7 rétt áðan.	5.0	2
Spíran er byggður úr timbur ramma.	2.5	2
Stefnan var fyrirrennari Reggí tónlistar og Rocksteady.	3.0	1
Steinþór Skúlason forstjóri SS segir einfalda skýringu á þessu.	10.0	1
Sterka áfengið er eins og nammið–það sem búðin vill selja.	0.0	1
Stjórnandi er Ingólfur Guðbrandsson.	10.0	1
Stjórn N. F. V. Í. er skipuð af 10 einstaklingum.	6.0	1
Stjórn N.F.V.Í. er skipuð af 10 einstaklingum.	7.5	2
Stjórn N. F. V. Í. hefur æðsta vald í málefnum félagsins.	5.0	1
Stjörnunni tókst svo að gera útum leikinn á 81. mínútu.	4.0	2
Stolt er því talið vera dauðasind.	0.0	1
Stórt svæði eyðilagðist undir 9m þykku öskulagi.	5.0	1
Stundaði nám við hinn virta skóla í París.	3.0	1
Stuttmyndin fékk óskarsverðlaun í teiknimyndaflokki.	5.0	3
Sú dulargáfa varð mörgum að liði og barg frá ýmsum skaða.	5.0	1
Suðurriðill : Norðurriðill : Fjögur lið kepptu í norðurriðli.	5.0	1
Sum forðast augnsamband, snertingu og vilja oft vera ein.	2.0	1
Sumir endurtaka sömu orðin aftur og aftur.	6.75	4
Sumir íbúanna hafa verið þar síðan þeir voru börn.	5.0	3
Sumum finnst hann ágætur, en öðrum forljótur.	5.0	2
Sunna er það met orðin fljótasta íslenska konan frá upphafi.	5.0	2
Súpa og brauð eru í boði á eftir.	6.5	2
Sú reynsla mun nýtast honum vel í Alcatrazsundinu.	6.0	2
Sú stærsta heitur Carolus og vegur ein og sér 6,4 tonn.	3.5	2
Sú umræða hefur raunar verið í gangi lengi.	5.0	1
Svaraðu fyrir þig !	10.0	2
Sverrir fékk viðurnefnið Sveddi tönn út af tannlýti.	6.0	1
Svo ætla þau út til Ítalíu og klára Masterinn á þremur árum.	3.0	1
Svo ég fer ofan í kirkju og hitti Sigfús Einarsson.	6.5	2
Svo gerði hann, ásamt því að sækja mikið söfn í Kaupmannahöfn.	0.0	1
Svo hef ég alltaf farið í Blöndu og Stóru laxá.	3.0	1
Svona snjóhús var notað í aðeins einn eða tvo daga.	3.5	2
Swabsterinn að gera hið ómögulega.	2.5	2
Syrtlingur stóð mun lengur.	5.0	1
Tablut er leikið á borði með 81 reit eða 9 reitir á hvern kant.	2.5	2
Tækifæri í útlöndum er að fjölga.	5.0	1
Tákn með tali örvar málskilning og málvitund barna.	5.0	1
Tansanía er 31. stærsta land heims.	6.0	3
Tapið er einnig hið versta hjá gestgjafa í sögu HM.	3.0	1
Tekju mikil vinna stuðlar að góðum auð.	1.0	1
Thames-áin rennur gegnum borgina.	5.0	1
The Mahavishnu Orchestra spilaði tónlist í rokkaðri kanntinum.	5.0	1
The Rasmus er finnsk rokkhljómsveit stofnuð 1994.	7.0	2
Thompson fæddist í Richmond, Virginíu.	4.67	3
Til að glöggva á þessu er gott að stilla upp einföldu dæmi.	2.5	2
Til eru margar gerðir Skuldabréfa sem virka á misjafnan hátt.	5.0	2
Til hægri í hvítu röndinni kemur skjaldarmerkið fyrir.	5.0	1
Tillagan þykir ekki nógu hipp og töff.	6.0	2
Til stóð að reisa höllina á laugardagsmorguninn.	4.5	2
Tímarnir í dag af autosport.	0.0	1
Tíminn dugði honum í fjórða sæti.	6.0	1
Tökum til dæmis samræmt stúdentspróf.	4.0	1
Tónlist er eitt mikilvægasta tjáningaform sem mannkynið hefur.	5.0	1
Tónlist - förunatur í dagsins önn.	3.0	1
Tottenham ku einnig hafa verið inni í myndinni hjá Davids.	2.0	1
Tugir hljómsveita troða upp á annarri helgi í ágúst.	7.0	1
Tvær ástæður geta legið að baki þess.	6.0	1
Tvígilt járn er leysist vel upp í vatni en þrígilt ekki.	3.5	2
Uggar eru beittir honum til varnar.	5.0	1
Um 20% íbúa eiga evrópskan, asískan eða blandaðan uppruna.	0.0	1
Um 80% landsins eru í Saharaeyðimörkinni.	9.0	1
Um aldamótin 1900 voru íbúar bæjarins ekki nema 2.500.	5.0	1
Um vorið 1945 voru Bandarískar hersveitir komnar til Mindanaó.	8.0	1
Undir lok 17. aldar var Konungsríkið Búrúndí stofnað af tútsum.	5.0	1
Undir lokin voru svo Fylkismenn æfir og réttilega.	3.0	1
Úrslit fengin af heimasíðu Frjálsíþróttasambands Íslands.	5.0	2
Væntingarnar voru litlar og liðinu var spáð 5. - 6. sæti.	5.0	1
Vá hvað ég var töff.	4.0	1
Valsarar urðu Íslandsmeistarar í karlaflokki og kvennaflokki.	5.0	2
Valsstúlkur urðu Íslandsmeistarar í meistaraflokki kvenna.	3.0	1
Varð að endurtaka þau réttarhöld.	5.0	1
Var vísað í önnun Sambands íslenskra sveitarfélaga.	2.5	2
Vegirnir eru númeraðir frá E 1 og uppeftir.	3.33	3
Veiði einungis á flugu.	5.0	2
Vel að verki staðið hjá Sigurbergi.	5.0	1
Venus hefur þekkst síðan á forsögulegum tíma.	7.0	1
Verði menn varir við ísbjörn beri mönnum að yfirgefa svæðið.	5.0	1
Verið er að þróa nýja gerð rafhlaðna sem kölluð er Power Paper.	5.0	2
Verkalýðsfélagið Framsýn ætlar að bjóða upp á kaffi og meððí.	5.0	2
Verthonghen er miðvörður sem er 25 ára gamall.	3.5	2
Vestmannaeyjar eru oft notuð sem samheiti yfir Vestmannaeyjabæ.	5.0	1
Víðast hvar er jarðvegur grýttur og stutt er niður á hraun.	8.5	2
Viðburðurinn er sjónvarpaður og hefur vakið mikla eftirtekt.	3.0	1
Við erum búin að reyna að selja hver öðrum verðbréf.	0.0	1
Við erum einungis okkar eigin gæfusmiðir upp að vissum mörkum.	4.5	2
Við erum ekki einsdæmi um ósátta þjóð.	5.0	1
Við erum því efstir, lang efstir í fæðukeðjunni.	3.0	1
Við fáum alvöru leik vonandi í lokaleikhlutanum.	1.0	2
Við fengum Tolla félaga okkar til þess að skutla okkur.	5.0	1
Við gerðum þetta vel fyrir utan smá vesen til að byrja með.	5.0	2
Við höfum skaða jörðina gífurlega.	5.0	1
Við jarðarbúar höfum mengað mikið frá okkur í gengum tíðina.	3.0	3
Við lifum á tímum þróunnar og tækninýjunga.	5.0	1
Við náum aftur jafnvægi þegar við snúm þeim fókus við.	5.0	1
Við Portúgalar eru vinaleg þjóð sem hugsar ekki um hefnd.	3.5	2
Við tekur gríðarleg leit af rétta nashyrningnum.	5.0	1
Við viljum ekki selja best mennina okkar.	4.0	1
Við vorum alveg að vera komin að Ártúnsbrekkunni.	5.5	2
Við þekkjum tilfinninguna að vinna og það er mikilvægt held ég.	4.0	1
Víkingar fóru í umspil við næstefsta lið 2. deildar.	7.33	3
Víkingatíminn stóð stutt.	3.5	2
Víkingur fór í umspil við næstefsta lið 2. deildar.	7.5	2
Vínbúðirnar er eru eins og aðrar verslanir.	2.0	1
Vinkonur mínar margar æfa hópfimleika.	3.0	1
Viti menn ég komst inn.	7.5	2
Völsungur féll niður í 3. deild.	10.0	1
Von er á hópi ferðamanna í kvöld sem eru að koma að austan.	3.33	3
Vörn íslenska liðsins verið afar góð og Danirnir eiga fá svör.	2.25	4
Yfirleitt enda þau í allt öðru starfi en þeim dreymir um.	6.0	1
Zoom merkir rönd ( sbr. Saum á þýsku ).	4.67	3
Þá blandaðist smá af pönki við ska.	5.0	1
Það að kunna að meta það sem að maður hefur það er ómetanlegt.	2.5	2
Það er áhyggjuefni að enn búa tíu manns á Kópavogshæli.	5.0	1
Það er alveg klárt að Ganso mun ekki spila aftur fyrir Santos.	5.0	1
Það er ekki gott að fólk, né börn fari inn í húsið.	4.0	1
Það er enginn breyting.	5.0	1
Það er enn í dag eitt mesta fjöldamorð í hollenskri sögu.	1.5	2
Það er fimm manneskjur ( í dómnefnd ) sem eru kannski ósamála.	5.0	1
Það er komið í lok oddalotu í þriðja setti.	5.0	1
Það er lengsta eldgos á Íslandi frá því að sögur hófust.	2.0	1
Það er spurning sem aðeins tíminn getur gefið í ljós.	7.0	1
Það eru alltaf breytingar þótt að þær séu litlar.	5.0	1
Það er þónokkuð veitt af spænskum makríl í heiminum.	5.0	1
Það er því reynst þrautinni þyngra að ákveða hvað velja skal.	2.67	3
Það með splittaðist héraðið Brabant í norður- og suðurhluta.	5.0	1
Það munar að sjálfsögðu um þessi 2 ár.	5.0	1
Það snýst um öryggisbúnað, hraða og almenna aðgæslu.	7.0	2
Það tók kviðdóm hinns vegar aðeins átta mínútur að sýkna hann.	2.0	1
Það var gististaður sem við þurftum að yfirgefa í Sviss.	5.0	1
Það var gleðilegt að fá þessi fínu viðbrögð.	7.5	2
Það var í skólanum sem ég varð fyrst skotin í stelpu.	8.0	2
Það var svona spurningamerki hvað vð sæjum yfir vetrarmánuðina.	4.0	1
Það var um það leyti er átökin hófust í Írak árið 2003.	5.0	1
Það verður hins vegar ekki litið framhjá ákvörðun van Gaal.	5.0	1
Það vissi enginn hvað hann átti að segja.	5.6	5
Það þarf ekki löglærða menn til að sjá það.	5.0	1
Það þyrfti að vinna að ötulli kennslu í tímatöku.	1.0	1
Þá er algengt að slegið sé á hi-hat og á kantinn á snerlinum.	8.5	2
Þá er ekki vitað um skemmdir á rútunni.	5.0	1
Þá hafa skuldir félagsins hafa lækkað um 3.4 milljarða.	0.0	1
Þá hefur brennisteinslykt fundit af ánum.	5.0	1
Þá hinsvegar tóku FH-ingar aftur við sér og skoruðu annað mark.	4.33	3
Þá kom vegfarandi að mönnum við veiðar í Fossinum.	5.0	1
Þang eins og klóþang er víða nytjað til alskonar framleiðslu.	5.0	2
Þann 1. september árið 1905 varð Alberta að fylki innan Kanada.	5.0	1
Þannig er í raun lífið er fullt af tímamótum góðum og slæmum.	5.0	1
Þannig hafa þjóðflokkar, líkt og þjóðir, stofnunargoðsögn.	7.0	1
Þar af eru 85% Sómalir sem flestir búa í norðurhlutanum.	7.0	1
Þar af leiðandi opnum vði okkur meira.	7.0	1
Þar eiga þeir að leika listir sínar þar á meðal galdra.	5.0	1
Þar eru góðar jarðir og nægileg úrkoma til að stunda akuryrkju.	7.67	3
Þar heitir Dufþaksskor, er hann lést.	8.0	1
Þar má nefna hljómsveitina Wham !	5.0	2
Þarmeð áætlar Kyle að fara í Skýjaborg.	3.0	3
Þarna fundust einnig tveir naglar.	6.67	3
Þarna geta peningarnir einnig verið eru stöðutákn.	4.5	2
Þarna myndi sér flokkast sem óþægindafall.	5.0	1
Þar segir að talið er að einkaneysla hafi aukist um 1,7%.	6.0	1
Þar segir Darth Vader Luke að hann sé faðir hans.	1.0	1
Þar segir hann hafa átt góðar og slæmar stundir.	5.0	1
Þar tapaði liðið fyrir vestur-Þýskalandi í úrslitum.	5.0	1
Þar voru þau búsett til 1929 er þau fluttu til Reykjavíkur.	10.0	1
Þá segir Eyrún að lögreglan búi við breyttan veruleika í dag.	10.0	1
Þátturinn er síðan endursýndur kl. 21 : 45 i kvöld.	6.5	2
Þau eru föst á sama stað í lífinu og komst ekkert áfram.	6.33	3
Þau hafa fyrir löngu tekið út sína refsingu.	7.0	2
Þau hitti hokkí-liðið í bænum og tóku örstuttan leik með þeim.	0.0	1
Þau höfðu hraðara viðbragð og hærri nýtnistuðul.	5.0	1
Þau náðu 12. sæti af 24, með 45 stig.	5.0	2
Þau segja að læra verði af mistökum fortíðar.	10.0	1
Þau segja hvert öðru frá ást sinni og kyssast.	5.0	2
Þau söknuðu að finna fyrir ást og umhyggju.	9.0	1
Þau tilkynntu síðan um ferðir dýrsins.	5.0	1
Þau voru hinsvegar heil á húfi, en var illa brugðið.	5.0	2
Þá var hins vegar of mikill vindur til verksins.	7.5	2
Þeir byrjar hinsvegar nánast aldrei saman inná vellinum.	1.67	3
Þeir eru á milli tíu og tuttugu, segir hann.	10.0	1
Þeir eru fyrst og fremst í Oman.	5.0	1
Þeir eru rúmlega 40 cm að hæð.	5.5	2
Þeir sem ná að læra málið geta notað það á sérkennilegan hátt.	7.0	1
Þeir urðu felmtsfullir, og hljóp sinn veg hver.	8.0	1
Þeir vakna á sjúkrabeði það sem Ófeigur fagnar þeim vel.	5.0	1
Þeir þurfa enga hjálp frá okkur til þess að vinna leikir.	5.0	1
Þekktastur orðaþríhyrninga er eflaust Abrakadabra.	3.0	1
Þessi ár komu fram með stíl sem enn í dag er hljóðritaður.	5.0	1
Þessi athöfn var svo bönnuð á siðari hluta 5. áratugarins.	0.0	2
Þessi nýi leiðtogi kallaðist Imam.	3.0	1
Þessi samtöku voru í nánum tenglsum við Íhaldsflokkinn.	1.0	1
Þessum hátíðum fylgja gríðarlegt álag fyrir lögreglunnar.	1.67	3
Þetta ein skelfilegustu flóð í manna minnum á þessu svæði.	0.0	1
Þetta er bara kúl.	2.0	1
Þetta er bara slúður af verstu tegund og ekki svaravert.	7.5	2
Þetta er búið að vera sjúklega mikið ferðalag.	1.0	1
Þetta er einskonar tröppugangur.	5.0	1
Þetta er engin meistaraheppni.	8.0	3
Þetta er örlítil lægra hlutfall en á undanförnum tveimur árum.	5.0	2
Þetta er rosalega mikið haltu mér slepptu mér.	2.5	2
Þetta er skoðun manna enn þann dag í dag.	10.0	1
Þetta eru jú, bestu ár lífsins.	5.0	2
Þetta eru svokallaðar MP3 skrár sem að þú getur sókt á netinu.	2.5	2
Þetta er vægast sagt undarleg ráðstöfun, sem við fordæmum.	10.0	1
Þetta er val sem hver verður að svara fyrir sjálfan sig.	0.0	1
Þetta gefur kirkjunni sérkennnilegt útlit.	9.0	2
Þetta hefur legið fyrir í mörg ár?	0.0	1
Þetta kemur fram á heimasíðu skíðasambands Íslands.	10.0	1
Þetta kemur fram á vefsíðu Hagastofunnar.	1.67	3
Þetta kemur fram í tilkynningu frá almannavörnum.	7.5	2
Þetta kom fram í hádegisfréttum RUV.	10.0	1
Þetta lífgar upp á fjölbreytileikann í matmenningu Íslendinga.	4.0	1
Þetta reyndust vera stærsta kolasvæði Belgíu.	3.5	2
Þetta sagði Assad í viðtali við þýskan fjölmiðilinn ARD í dag.	5.0	1
þetta sagði einhver frægur maður sem ég man ekki hver er.	8.0	1
Þetta segirRagnar Aðalsteinsson, hæstaréttarlögmaður.	0.0	1
Þetta staðfesti Heimir Guðjónsson, þjálfari FH, við Vísi.	9.5	2
Þetta staðfesti Suður-Afríska frjálsíþróttasambandið í dag.	4.0	1
Þetta sýnir ný athugun sem Umferðarstofa segir frá.	8.0	1
Þetta var allt annða.	5.0	1
Þetta var árið 1991, en þá var Mustafa sjö ára gamall.	6.33	3
Þetta var sautjánda bókin í íslensku ritröðinni	5.0	2
Þetta vekur þó mis mikla lukku ökumanna.	5.0	1
Þetta voru bæði verslunar, geymslu – og íbúðarhús.	4.33	3
Þetta þýðir á íslensku : æskunni er sóað á hina ungu.	5.0	1
Þið tókuð kannski eftir því að ég sagði stofnum.	6.0	2
Þingið getur fellt úr gildi þessi lög.	3.0	1
Þingið hefur samt í raun enginn völd.	0.0	1
Þjóðfélagið í dag er allavega að þróast í þessa átt.	8.0	1
Þjóðsagnasafn Jóns Árnasonar.	5.0	2
Þór Akureyri sigraði í 2. deild og tók sæti ÍBK.	9.0	1
Þór Vestmannaeyjum féll í 3. deild.	2.0	1
Þótt hörkuerfitt sé vinnur Kyle Galak Fyyar.	1.0	1
Þrotlaus vinna og menntun liggur að baki þessum hlutum.	5.0	2
Þróttur fór í umspil við næstefsta lið 2. deildar.	5.0	1
Þurrkatíminn er kaldari og nær hann frá apríl til september.	9.0	1
Því betur fer er það alls ekki rétt.	1.0	2
Því eins og staðan er í dag, þá vill ég ekki hætta.	4.0	2
Því er hér ekki um neina smásmíð að ræða.	5.0	1
Því getur samkynhneigði ekki verið andstætt Guðs vilja.	4.0	2
Þvílík spenna í DHL-höllinni.	5.0	1
Því næst kom ingvaldur Ásgeirsson með tæpar 14 milljónir.	4.0	3
Því verði að telja að eldstöðin sé tilbúin í gos.	6.0	3
Þyrlan lenti síðan í Reykjavík á sjötta tímanum.	5.0	1
